problem_size,id_random_seed,avg_best_num_individuals,avg_num_evaluations
10,0,22.0,160.0
10,1,16.0,80.0
10,2,22.0,128.0
10,3,22.0,160.0
10,4,16.0,80.0
10,5,20.0,128.0
10,6,24.0,160.0
10,7,18.0,64.0
10,8,20.0,160.0
10,9,20.0,96.0
20,0,32.0,252.8
20,1,32.0,246.4
20,2,36.0,448.0
20,3,36.0,512.0
20,4,34.0,512.0
20,5,40.0,384.0
20,6,44.0,256.0
20,7,28.0,160.0
20,8,48.0,448.0
20,9,32.0,256.0
40,0,52.0,704.0
40,1,80.0,1280.0
40,2,68.0,1408.0
40,3,64.0,710.4
40,4,60.0,832.0
40,5,60.0,704.0
40,6,68.0,1408.0
40,7,72.0,1408.0
40,8,88.0,1408.0
40,9,88.0,1280.0
80,0,112.0,2048.0
80,1,128.0,2176.0
80,2,128.0,2150.4
80,3,136.0,3840.0
80,4,120.0,2176.0
80,5,112.0,2304.0
80,6,112.0,1920.0
80,7,120.0,2176.0
80,8,96.0,2176.0
80,9,144.0,3840.0
160,0,208.0,6400.0
160,1,192.0,6144.0
160,2,176.0,6400.0
160,3,176.0,6400.0
160,4,272.0,12288.0
160,5,208.0,6144.0
160,6,208.0,6400.0
160,7,176.0,6656.0
160,8,208.0,6144.0
160,9,128.0,3584.0
