problem_size,id_random_seed,avg_best_num_individuals,avg_num_evaluations
10,0,72.0,384.0
10,1,160.0,1024.0
10,2,112.0,512.0
10,3,104.0,256.0
10,4,128.0,435.2
10,5,208.0,512.0
10,6,112.0,384.0
10,7,88.0,512.0
10,8,96.0,512.0
10,9,144.0,512.0
20,0,416.0,3584.0
20,1,384.0,2560.0
20,2,320.0,3584.0
20,3,192.0,1536.0
20,4,224.0,1536.0
20,5,480.0,2560.0
20,6,288.0,4096.0
20,7,272.0,3584.0
20,8,320.0,4608.0
20,9,416.0,3584.0
40,0,640.0,13312.0
40,1,832.0,14336.0
40,2,896.0,16384.0
40,3,1088.0,24576.0
40,4,896.0,12288.0
40,5,1088.0,24576.0
40,6,896.0,13312.0
40,7,960.0,12288.0
40,8,768.0,21504.0
40,9,960.0,12288.0
80,0,2816.0,90112.0
80,1,3584.0,86016.0
80,2,3072.0,81920.0
80,3,3840.0,86016.0
80,4,3072.0,86016.0
80,5,3072.0,86016.0
80,6,3328.0,73728.0
80,7,3328.0,81920.0
80,8,4096.0,88064.0
80,9,3072.0,86016.0
160,0,-1.0,-1.0
160,1,-1.0,-1.0
160,2,-1.0,-1.0
160,3,-1.0,-1.0
160,4,-1.0,-1.0
160,5,-1.0,-1.0
160,6,-1.0,-1.0
160,7,-1.0,-1.0
160,8,-1.0,-1.0
160,9,-1.0,-1.0
