,#gen,xbest,f(xbest),eval
0,1,[1.62112716 1.90293698],52.965163579023994,128
1,2,[1.14989492 1.3120804 ],0.032827510810458815,256
2,3,[1.04098429 1.10860701],0.06397344538323249,384
3,4,[0.87676539 0.77055958],0.0155260753274923,512
4,5,[0.922209   0.86800621],0.036805252740173086,640
5,6,[0.87203191 0.75854074],0.01673641673731082,768
6,7,[0.85366112 0.70622459],0.07209735313576779,896
7,8,[0.93527421 0.86540764],0.012894724418828885,1024
8,9,[0.87091216 0.73434227],0.07496524604674315,1152
9,10,[1.01367057 1.03984419],0.01535568431113249,1280
10,11,[1.0505255  1.10721631],0.003857827879982914,1408
11,12,[1.08755455 1.17533629],0.013199077696506797,1536
12,13,[1.08837695 1.18368709],0.0078874474311606,1664
13,14,[0.88380373 0.77927141],0.013839260098339341,1792
14,15,[0.79458997 0.63366091],0.04271662849705774,1920
15,16,[0.89624484 0.81877729],0.034859864973676,2048
16,17,[0.98240944 0.97542696],0.010915652196599002,2176
17,18,[1.02007472 1.03787725],0.0011186616533033688,2304
18,19,[0.9905991  0.96838119],0.016743274870314302,2432
19,20,[1.12044699 1.26146001],0.018178093637966086,2560
20,21,[1.05255685 1.10895202],0.0028780207965185683,2688
21,22,[1.1290089  1.27137571],0.017722671935501564,2816
22,23,[1.1265875  1.28189523],0.03214282048150435,2944
23,24,[0.95954745 0.91683809],0.003152114469712997,3072
24,25,[0.91554701 0.86347358],0.07087474539574046,3200
25,26,[0.9666853  0.93351922],0.001202267796602559,3328
26,27,[1.08860114 1.17425819],0.01950173235314614,3456
27,28,[1.03851893 1.08484497],0.005482240430207645,3584
28,29,[0.99930961 1.00530746],0.004473093049704194,3712
29,30,[0.99943943 0.98653273],0.015243754763914324,3840
30,31,[1.00624892 1.01688043],0.0019256770015368579,3968
31,32,[1.02281632 1.0469217 ],0.0005796399356004868,4096
32,33,[1.07114322 1.13392286],0.023084276167652778,4224
33,34,[1.02295254 1.04165463],0.0028090547451272837,4352
34,35,[1.26142861 1.58938495],0.06867513835821835,4480
35,36,[1.21613347 1.46215255],0.07503208538167092,4608
36,37,[1.12320228 1.28668178],0.07817190656451453,4736
37,38,[1.02977199 1.07467679],0.02118245527285417,4864
38,39,[1.05843939 1.1244136 ],0.005112320046946329,4992
39,40,[1.16594887 1.33914176],0.06872777158431476,5120
40,41,[0.76154261 0.59358696],0.07546636492512598,5248
41,42,[0.84463757 0.74404663],0.11798174398745116,5376
42,43,[0.88798575 0.77867478],0.022237445727415296,5504
43,44,[1.01261741 1.0239259 ],0.00037473769875097097,5632
44,45,[1.12913771 1.28101802],0.02035623816057072,5760
45,46,[0.86714396 0.74401581],0.02392784923503372,5888
46,47,[0.89082354 0.7798898 ],0.030624912937303024,6016
47,48,[1.04021216 1.10141955],0.03916854826605815,6144
48,49,[0.99090639 0.98680644],0.0024944558901746033,6272
49,50,[1.0817969  1.15977927],0.017726761144073594,6400
50,51,[1.0439947  1.09689104],0.006788189750435017,6528
51,52,[1.0379976  1.07370636],0.002837086668334657,6656
52,53,[1.02007678 1.05185873],0.013176807362752523,6784
53,54,[1.03396622 1.05485865],0.021395867752702684,6912
54,55,[1.01976865 1.02164906],0.03380309116755051,7040
55,56,[1.15030265 1.31317053],0.03264223755214099,7168
56,57,[1.08417781 1.1698528 ],0.01020929652868428,7296
57,58,[1.02651245 1.04384991],0.010460205948732246,7424
58,59,[1.09375346 1.19461565],0.009072283752641616,7552
59,60,[0.96014011 0.9261745 ],0.0034425198819567366,7680
60,61,[0.99095114 0.97758175],0.0020200145785119607,7808
61,62,[0.86982162 0.74786371],0.02456062485772413,7936
62,63,[1.01320671 1.03721238],0.01146251134284305,8064
63,64,[0.93235437 0.87397226],0.006773267880115062,8192
64,65,[0.82366632 0.63433585],0.2254895571659754,8320
65,66,[0.85031932 0.76960917],0.2392455840656034,8448
66,67,[0.96499731 0.93171792],0.0012499992838210642,8576
67,68,[0.90446598 0.81153879],0.013377675812816655,8704
68,69,[0.98828713 0.99181331],0.022943789968869015,8832
69,70,[1.02620592 1.07249749],0.03831846244707421,8960
