,#gen,xbest,f(xbest),eval
0,1,"[2.04747138 2.95791998 1.29004438 1.86818414 0.91217227 0.31747775
 0.         3.0500548  0.         0.        ]",-2.4292121565616225,32
1,2,"[1.87367952 1.58053758 1.34420805 2.15404889 1.73076529 0.57566055
 0.48407257 3.141569   1.90875894 1.35349414]",-2.868756525091688,64
2,3,"[2.06113473 1.55153256 1.67524189 1.11516489 1.45404561 0.25027642
 0.6353079  3.141569   1.93699796 0.85414254]",-2.936888243863522,96
3,4,"[1.84035797 1.71183131 1.27336349 1.08789395 1.67921742 0.5405445
 0.65540521 3.141569   1.94535617 1.37359354]",-3.6300944025102333,128
4,5,"[2.01702911 1.62971398 1.31137539 1.0064098  1.84751822 0.38807721
 0.90207473 3.141569   2.13307631 1.24813007]",-3.5296112290960115,160
5,6,"[2.21838006 1.52536023 1.14763715 1.01503124 1.7055305  0.
 1.23288749 2.8250582  2.1810624  0.94949964]",-3.7495962763647492,192
6,7,"[2.26632202 1.56796716 1.28294452 1.26453522 1.73402436 0.
 1.24637401 2.71764802 1.81660531 0.70588856]",-4.378581815729093,224
7,8,"[2.64155482 1.92115131 2.17202836 1.05403822 1.38226926 0.93108066
 1.45783354 3.01070455 1.82148503 2.11414175]",-3.757326290548761,256
8,9,"[2.16155137 1.90215279 1.58468436 1.10538972 1.50319481 0.76846518
 1.20999082 2.59839429 1.94833154 1.22166563]",-3.969410199576065,288
9,10,"[2.19727591 1.83820008 1.20893279 1.11766961 1.03230977 1.12126885
 1.7432415  2.37459953 1.99303289 1.69072737]",-3.768297228953394,320
10,11,"[2.13217897 1.8455531  1.78056851 1.15415425 2.68415628 0.27085046
 0.79102427 2.15754964 1.88694104 1.21774662]",-3.0312962488227164,352
11,12,"[1.90447443 1.56603042 1.29334449 0.76265403 2.18020538 0.5725624
 0.9041805  2.50727729 1.97549728 1.27916114]",-3.60687182984109,384
12,13,"[1.83341411 1.45259334 1.19884213 0.35059494 1.73297614 0.9828136
 0.54633632 2.21946961 1.96432992 1.0337782 ]",-3.510957271017122,416
13,14,"[1.28096509 1.52005466 1.20065879 1.00406264 2.22927053 1.18416843
 0.65885574 1.91118591 1.24698994 1.53146355]",-3.383589758154859,448
14,15,"[1.89075571 1.55925716 1.11856881 1.23613458 2.59985617 0.9405507
 0.70460692 2.34392059 0.76802921 1.20727766]",-4.693936712465737,480
15,16,"[1.12301933 1.5768411  1.35263932 0.89289296 1.89160519 1.60761854
 0.53887305 2.58881539 1.01645134 2.11760947]",-3.3878296529549266,512
16,17,"[0.75171604 1.45942654 1.145997   0.76874028 1.78108982 1.71047992
 0.81331182 2.21979968 1.65209598 1.87548298]",-3.5433263968322444,544
17,18,"[0.69760868 1.75984359 1.48711645 1.23720083 1.7064965  1.59810386
 0.35415642 1.7958314  1.63823768 2.09560668]",-3.837788163310778,576
18,19,"[0.17018127 1.68563232 1.27380395 1.08682254 2.07506292 2.04959766
 1.19558071 1.9245514  1.4692598  2.00871401]",-3.024873507548358,608
19,20,"[0.55560546 1.92659032 1.29608263 1.17465531 1.70375378 2.06459323
 0.03794172 1.98770545 1.64519712 1.54348268]",-4.274243040914771,640
20,21,"[0.         1.64854767 1.41210265 0.88723067 1.33786999 1.53862546
 1.21644459 2.27170851 1.28684422 1.95832347]",-2.758717935189765,672
21,22,"[0.19241438 1.37161928 0.94248818 0.9896203  1.6883811  2.03008277
 0.23189673 2.47483914 1.30910577 2.52827092]",-3.346553788786691,704
22,23,"[0.06117874 1.27082225 1.3206377  1.02711418 1.7305669  1.80750791
 0.58523443 2.34910539 1.25278709 2.30017885]",-3.7539394455789052,736
23,24,"[0.11108692 1.60653496 1.26124246 1.0052398  1.76529032 3.0291037
 0.67854637 2.35472887 1.62348706 1.82682667]",-4.197490325721557,768
24,25,"[0.53769333 1.58839486 1.29982425 1.569772   1.31844487 2.87573341
 0.17130404 2.06919719 1.26983114 1.9295766 ]",-3.6156163766092333,800
25,26,"[0.36093006 1.80203821 0.91002121 1.08935766 1.19714341 2.75263512
 0.63058361 2.35279699 1.60073992 1.56362947]",-2.7704231608555814,832
26,27,"[0.         1.5033021  1.41750524 1.12402485 1.75543583 2.7959867
 0.41360339 2.5256946  1.08719703 1.74825827]",-2.692191538678718,864
27,28,"[0.56394658 1.04638684 1.30062685 0.50299008 1.71483731 2.91819951
 0.72103288 2.16769195 0.6970965  2.04571943]",-2.505113283990431,896
