,#gen,xbest,f(xbest),eval
0,1,"[ 7.50938369  5.2026945   2.00019009 -4.56514234  8.55632173 -5.
  8.5580523   0.77475533  0.43108117  8.46632055]",897510670.0199105,1024
1,2,"[ 7.5924239   5.41605044  1.58873256 -4.56857807  8.22112251 -4.98731139
  7.92626589  1.10137809 -0.34901053  7.96669879]",606344252.0666146,2048
2,3,"[ 6.87622181  4.94757005  1.59350348 -5.          8.31964735 -5.
  7.70086704  0.56747374 -0.75825392  7.57903496]",390386185.94829655,3072
3,4,"[ 6.97138134  5.18001643  1.44890411 -4.95926681  7.49763115 -5.
  7.73687571  0.16220782 -1.27262292  7.03034322]",233664292.87411895,4096
4,5,"[ 7.09444612  5.46893257  1.32244792 -5.          7.18965416 -5.
  7.53113768 -0.25559029 -2.10405066  6.61271867]",125365433.46909334,5120
5,6,"[ 6.68398448  5.12657873  1.20357706 -4.73471967  6.9774274  -5.
  7.30732841 -0.74967609 -2.54058966  6.04156198]",63317291.53275661,6144
6,7,"[ 6.43096311  4.6150493   0.95471886 -5.          7.1623227  -5.
  6.69546913 -1.36562942 -2.37212628  5.36089912]",27694595.829164926,7168
7,8,"[ 6.58333309  4.73256257  1.2624263  -5.          6.65101223 -4.86364478
  6.37657893 -1.37364041 -3.2906067   4.74161716]",9393540.48457472,8192
8,9,"[ 7.33779018  4.15549536  1.163738   -5.          5.87755114 -5.
  6.16224674 -1.76885318 -4.13412697  4.54462207]",1635274.0693075778,9216
9,10,"[ 7.26092511  4.1287265   1.10398757 -5.          5.60412462 -4.79815635
  5.57487469 -2.17136813 -4.45746428  3.9086109 ]",122439.07278647223,10240
10,11,"[ 6.20277449  4.08822638  1.0393144  -4.93814874  6.0301579  -5.
  4.89466553 -2.94475366 -4.99645415  3.90016457]",269.8596110435056,11264
11,12,"[ 6.26820725  3.58352627  1.0154289  -5.          5.42066438 -4.12454532
  4.64191148 -2.92104301 -4.58918852  3.40423711]",188.02448757785663,12288
12,13,"[ 6.64279548  3.25432012  1.20663373 -4.82679546  4.95778979 -3.7278253
  4.41285251 -2.92632578 -3.75146713  2.60395934]",166.98304890485264,13312
13,14,"[ 5.06454275  2.55562324  1.34387332 -3.94484993  4.23976831 -4.1550502
  4.8033968  -2.52082841 -4.20069677  2.8994245 ]",140.88965193240054,14336
14,15,"[ 5.67478372  3.04766827  1.77071917 -3.1741707   3.96606732 -4.08458179
  3.74298548 -2.24434371 -3.54027716  2.39502763]",124.4342938353144,15360
15,16,"[ 5.2141958   2.24648358  1.39077946 -3.51031697  4.0709403  -3.58944809
  3.83079567 -2.17154864 -3.30684433  2.19502   ]",111.18160523888791,16384
16,17,"[ 4.56029839  1.9911094   1.19466962 -3.52920425  3.81395383 -3.30586159
  3.55964203 -1.57038326 -3.45015739  2.18591093]",96.12973956729516,17408
17,18,"[ 4.02387414  1.89661421  0.83753228 -3.39913917  3.49415456 -3.2999757
  3.03402968 -1.61574303 -2.84346233  2.36291803]",81.52072902475139,18432
18,19,"[ 3.16271676  1.43315819  0.10588411 -3.29688843  3.8863633  -2.77135543
  2.84988136 -1.0596148  -3.05453813  1.98110857]",68.28469512850664,19456
19,20,"[ 3.49954176  1.41621862 -0.34361729 -2.7614802   2.9180972  -2.03107076
  2.19001552 -0.95598223 -2.82358554  2.13766698]",52.99152311003151,20480
20,21,"[ 3.13075953  1.07056917  0.18523966 -2.17749741  2.69891263 -2.20437907
  1.89616362 -0.55071865 -2.89004782  1.96703778]",43.994920765131,21504
21,22,"[ 2.56107314  1.07106421  0.3650265  -2.02791626  1.99475401 -1.71333369
  2.12471654 -0.96661704 -2.50803374  1.84970605]",34.26444598399858,22528
22,23,"[ 2.67984646  0.32977507  0.29713595 -1.56937912  1.50357561 -1.21513436
  1.83503005 -0.70404097 -2.30642286  1.52704074]",25.102253110001296,23552
23,24,"[ 1.56948396 -0.04085954  0.42101862 -1.47022885  1.06675188 -0.91122547
  1.89917506 -1.0146831  -2.00009594  1.69597511]",19.623626233779657,24576
24,25,"[ 1.47080408  0.55323624 -0.03310196 -0.77339357  0.75726018 -1.16583144
  1.95921808 -1.19079446 -1.60816165  1.42005801]",14.868800300363192,25600
25,26,"[ 1.21280991  0.51698683  0.48252369 -0.551399    0.70456806 -0.8268068
  1.58480355 -0.97788775 -1.30365154  0.8139642 ]",9.364411327038818,26624
26,27,"[ 0.50326609  0.65968268  0.77844401 -0.23954129  0.69846259 -0.36276031
  0.93570199 -0.6958336  -1.22165497  0.60826838]",5.655883822116503,27648
27,28,"[ 0.44488239 -0.06361976 -0.0847926  -0.34186932  1.06206728 -0.53196889
  0.54326059 -0.59432623 -0.75138238  0.6614791 ]",3.4754013780787187,28672
28,29,"[ 0.28311184  0.20593143  0.13671814 -0.25492924  0.63180036 -0.50189904
  0.71821639 -0.29096887 -0.53798558  0.17571374]",1.8017382855612454,29696
29,30,"[-0.41611457  0.38949534  0.08833318 -0.1039519   0.27756153 -0.28173212
  0.22512102  0.18455633 -0.47025578  0.13168888]",0.8252576469720737,30720
30,31,"[ 0.04992523  0.19194296  0.28578856  0.00681316  0.30046679 -0.05199714
  0.15268041 -0.17253387 -0.20190418 -0.03868106]",0.30942547702241757,31744
31,32,"[ 0.30867787  0.21179637  0.12785182  0.17012419  0.15377172  0.07162124
  0.20867516 -0.32421316 -0.17273127 -0.04873471]",0.42852339839515075,32768
32,33,"[ 0.2543527   0.13962655  0.06718718  0.1388149   0.21000599 -0.23350821
  0.12490947 -0.24329687 -0.1157997   0.11908109]",0.3092452476593627,33792
33,34,"[ 0.42695994 -0.36084691  0.00742114 -0.10258715  0.0010656   0.11163988
 -0.09893796 -0.20212362  0.22578223  0.02074484]",0.44367628781275464,34816
34,35,"[-0.06468677  0.31326306  0.01074818  0.03475944  0.17199814 -0.03657261
 -0.12008503 -0.04531275  0.20620048 -0.24214327]",0.43260787707164683,35840
35,36,"[-0.08535767  0.06635864  0.34031404  0.03045231 -0.07474339 -0.41265768
 -0.0627908   0.24508633 -0.00601693  0.04027382]",0.41610266519654127,36864
36,37,"[-0.07071293 -0.0126607   0.48770771 -0.2236328  -0.04041587  0.01580605
 -0.20202043 -0.25060569  0.31031173  0.03331146]",0.5011795801710746,37888
37,38,"[ 0.2128097  -0.07899316  0.0934459   0.0207876   0.11466445  0.22001662
 -0.49697663  0.14524947  0.00155418  0.02125311]",0.44221104359042435,38912
38,39,"[-0.13612738 -0.13934746 -0.18799061 -0.40304518  0.04171439  0.05581026
  0.18533189  0.12563565 -0.05902571  0.00373014]",0.35463668572259816,39936
39,40,"[-0.1411202   0.0692384  -0.2711691  -0.02313254  0.16937397  0.25161837
  0.10036464 -0.10259666  0.16424183 -0.2629572 ]",0.340292066327394,40960
40,41,"[-0.07307041  0.2018563  -0.19957229 -0.29903637  0.14437845  0.00364996
 -0.17685901 -0.15692771  0.13752689  0.18126575]",0.3313061534613767,41984
41,42,"[-0.00482928  0.35910627  0.20878957 -0.12100185  0.31818245 -0.14544127
 -0.26279528 -0.33810712  0.19158069  0.09160088]",0.658983734102121,43008
42,43,"[ 0.11645234  0.31803488 -0.05780579 -0.14325916  0.27582612 -0.22028488
  0.16318485 -0.30883367 -0.01045868  0.1618264 ]",0.48320995582498355,44032
43,44,"[-0.01749618  0.26730986  0.11442989 -0.27169034  0.10659748  0.16377389
 -0.21608435  0.07805605 -0.30229977  0.22826163]",0.3944956527778937,45056
44,45,"[-0.1030204  -0.10765724  0.03636557  0.30687121 -0.17695529  0.08195535
 -0.30647915  0.02387044  0.01826142  0.10547919]",0.2739403631183066,46080
45,46,"[-0.26285108  0.13340017  0.3854871  -0.02371528 -0.08617149  0.32465976
 -0.15239069 -0.19086033  0.13259808 -0.11967326]",0.4406380409969282,47104
46,47,"[-0.19328426  0.31519071  0.35438703 -0.05233431  0.06243406 -0.05630535
 -0.39279557 -0.02310195  0.21224511 -0.04764844]",0.5327275079871598,48128
47,48,"[-0.2447311   0.01866077  0.25446748  0.22883242  0.10517345 -0.11257455
 -0.13633921 -0.11248369  0.0692797  -0.01044967]",0.23742559204297223,49152
48,49,"[ 0.00979597  0.062895    0.31412683  0.04129941 -0.0918375  -0.14422232
 -0.2723148   0.13422415  0.1688904  -0.04643496]",0.27705885358343213,50176
49,50,"[ 0.21219715  0.1346539  -0.16122327  0.07021339 -0.09973471 -0.1805387
 -0.06918759 -0.120309    0.46627618 -0.13372059]",0.40326343851678725,51200
50,51,"[ 0.15814793  0.01400628 -0.20793008  0.03514307 -0.17278462 -0.03287286
  0.15055827  0.05671326 -0.26047784  0.18557245]",0.357059868062481,52224
51,52,"[-0.22706351  0.19102886 -0.32238128  0.06927574  0.20995094 -0.129947
 -0.1080361  -0.09039446  0.05566698  0.09540208]",0.3805265023597411,53248
52,53,"[-0.21681449  0.0593488   0.15544888  0.12675746  0.13771868  0.07788953
  0.24984388 -0.06936094 -0.44422309  0.07417583]",0.38682932268456693,54272
53,54,"[ 0.21805173  0.31385014 -0.26303164 -0.05605324  0.16727488  0.07342328
  0.21792425 -0.10426233 -0.11472087 -0.08547667]",0.33811934165913055,55296
54,55,"[ 0.0621607   0.3601957  -0.01031166  0.08595126 -0.08388009 -0.15915981
  0.10994481 -0.19846994  0.01784161  0.10098489]",0.24086875860607826,56320
55,56,"[-0.16251967  0.02065815 -0.25647412  0.08132783 -0.08067667 -0.09444464
  0.44446924 -0.098656   -0.02715022 -0.09036853]",0.47848868188315435,57344
56,57,"[ 0.22175993  0.18888212 -0.137564    0.22085375  0.11725791 -0.33591598
  0.34208762 -0.09053914 -0.09820714 -0.0383605 ]",0.4174090075332793,58368
57,58,"[-0.00589725  0.21405975 -0.12385125  0.0657227   0.47234623 -0.0617961
  0.07320096 -0.38211658  0.198693   -0.14801068]",0.509863819384357,59392
58,59,"[ 0.0112445  -0.12680284 -0.1801628   0.04205779  0.04700198  0.15677438
 -0.01212805 -0.00159885 -0.03433353 -0.05589703]",0.2721955050735784,60416
59,60,"[ 0.08025774  0.03182897 -0.19404762 -0.05404216  0.36506325  0.05736618
 -0.1269405  -0.1365629   0.3065264  -0.22560971]",0.3655595592444394,61440
60,61,"[ 0.0852208  -0.29381936  0.23994335 -0.09639418  0.01693426 -0.17569541
 -0.14975086 -0.21821836  0.04747231  0.35542206]",0.39272219963134464,62464
61,62,"[ 0.1921703   0.10273178  0.39988862  0.08128566 -0.14458623  0.05104275
  0.01857892 -0.26851707  0.10951761 -0.02475509]",0.3761463603721255,63488
62,63,"[-1.46503345e-01 -1.12571744e-02 -1.07263856e-01  2.81585308e-04
  3.12528471e-01  3.12501746e-03  1.08011874e-01  8.15056141e-02
 -5.64054017e-02 -2.39189540e-01]",0.3947724975636928,64512
63,64,"[-0.27109427 -0.15299282 -0.10172286 -0.11565079 -0.17481114 -0.04178106
 -0.0928753   0.30916216  0.04833333  0.02407531]",0.2609099031363282,65536
64,65,"[-0.06359998  0.16828281  0.08390163 -0.16891332  0.33131093 -0.062802
  0.02351734 -0.08268347 -0.10997706  0.00132747]",0.3339876294027859,66560
65,66,"[ 0.03700818 -0.14972969 -0.1025939  -0.25898791 -0.1004819   0.03177237
 -0.35491316  0.2282576   0.06830012  0.1886127 ]",0.33652657632061045,67584
66,67,"[ 0.36893723  0.00842015 -0.13043427  0.0753279  -0.21153483  0.21028923
 -0.26677337 -0.09778541 -0.0181789   0.23317143]",0.3836042765634643,68608
67,68,"[-0.34262395  0.01495401  0.13435095  0.0595949  -0.0352394   0.01958071
 -0.0842934  -0.0513409  -0.34643541  0.38148837]",0.41727845796243707,69632
