,#gen,xbest,f(xbest),eval
0,1,"[-23.19358492  31.12935181 -15.89431035  13.66511005  -7.07779355
  19.86655659   9.00166264  -2.94617149 -15.20416004  20.84921094]",20.3784341672481,512
1,2,"[-23.07485384  31.00184702 -15.34725628  13.89446599  -7.13921128
  20.10594069   9.03268275  -3.17120354 -15.77607254  21.06863368]",20.314471518548192,1024
2,3,"[-22.87984573  30.95971605 -15.98762299  13.78289034  -6.73053891
  19.98250851   8.84234263  -3.30493967 -16.01262099  21.13066535]",20.38716460776757,1536
3,4,"[-23.12058232  31.19849118 -13.98645802  11.94950861  -8.16212036
  21.21427554   8.95376049  -4.06935457 -15.07984468  20.19566431]",20.14870985363053,2048
4,5,"[-22.92179558  31.15404397 -13.9918027   11.89402565  -9.11527954
  20.8964311    9.06109647  -3.74123646 -15.01134759  19.9962518 ]",19.969867680811777,2560
5,6,"[-23.7663038   31.01768416 -14.99815539  12.87406562  -7.97482886
  20.06347357   9.05913412  -3.95837443 -16.29459045  19.77040365]",20.232304413782067,3072
6,7,"[-24.08413145  31.06570096 -15.88893892  13.90933628  -7.12615012
  19.05653694   8.98078496  -3.61484242 -17.02564658  19.9655591 ]",20.094237125328682,3584
7,8,"[-24.1364509   31.05661587 -15.19048741  13.73358717  -7.81351002
  19.22244906   9.02397096  -4.02654954 -16.06501939  19.9891495 ]",20.265753480851448,4096
8,9,"[-23.87062523  31.05716593 -14.91544162  12.86219018  -8.07817623
  19.06692828   8.80913107  -3.95726271 -15.95609881  19.87426462]",19.9168920725494,4608
9,10,"[-23.86062087  31.03617082 -15.19128528  13.07128401  -8.11923017
  19.89641726   8.79051007  -4.79846472 -16.12830057  20.07045565]",20.22103190235572,5120
10,11,"[-23.60343462  30.99820615 -15.77731539  12.91283249  -8.12554909
  19.83654589   8.98498264  -3.97149587 -16.07472645  20.01744012]",20.26263415585819,5632
11,12,"[-24.16804798  30.94006524 -15.06870116  12.80307837  -8.24126732
  20.1288322    9.068505    -4.19670146 -15.94757751  20.02336226]",20.21690377372582,6144
