,#gen,xbest,f(xbest),eval
0,1,"[-0.15218621  4.14414517  1.79180361 -1.25623109 -1.55645108  1.81870564
 -4.83943589 -1.83735014  2.8844894  -3.27759927]",73.57493808832658,256
1,2,"[-0.25049797  3.52512798  1.35942723 -1.14250409 -1.76893406  2.7286823
 -3.83072277 -2.20217659  2.02014809 -3.40306727]",61.403353071129146,512
2,3,"[ 0.07005523  3.50110376  0.87710613 -0.65971254 -1.74784305  2.34128816
 -3.88945806 -2.01458511  1.94928402 -2.91412033]",53.481999416190675,768
3,4,"[ 0.24228828  3.43835362  0.39993621 -0.54111367 -1.45275641  1.74001781
 -3.58566285 -1.90204741  1.59977028 -2.17775931]",41.24855826011272,1024
4,5,"[-0.03799562  2.83805974  0.59514265 -0.95571431 -1.21569457  2.09156833
 -3.04577619 -1.56761469  1.4168994  -1.66447657]",31.688437322251335,1280
5,6,"[-0.14191129  2.42882348  0.53687113 -0.32012705 -1.21925767  1.0234371
 -2.59389578 -1.20023871  1.30471765 -1.6320043 ]",21.3786414922096,1536
6,7,"[ 0.08446747  2.21069413  0.64685561 -0.42220805 -1.21015008  0.58103562
 -2.31648849 -0.62085115  1.00477469 -0.85265089]",14.781211505037346,1792
7,8,"[ 0.09128505  1.91233474  0.21296361  0.01574216 -0.38027925  0.28041165
 -1.80071937 -1.05067015  0.76129294 -0.59590475]",9.215368873481077,2048
8,9,"[-0.21683008  1.04041724  0.34152659  0.73100743 -0.11220821 -0.1582459
 -1.5963097  -0.90023732  0.33258546 -0.55327543]",5.593486735913698,2304
9,10,"[-0.00711121  1.00930918 -0.12841547  0.31568502 -0.31614466  0.07766529
 -0.96208876 -0.26774505  0.10586282 -0.33545437]",2.3619212550001008,2560
10,11,"[ 0.05640672  0.45680747 -0.06004915 -0.01406753 -0.47190618 -0.31269153
 -0.26416074 -0.71668353  0.05729778 -0.06291912]",1.1267880436729623,2816
11,12,"[ 0.3669773   0.47180514 -0.01937332  0.1455017  -0.26938212  0.01099172
 -0.05220618 -0.07343273  0.03603001  0.18114786]",0.4937366007871164,3072
12,13,"[ 0.10709787 -0.11962843 -0.27932578 -0.09946056 -0.1052227  -0.07430721
 -0.15739861 -0.31540512 -0.26311667  0.07528469]",0.3294424591241925,3328
13,14,"[-0.07390718  0.15983152 -0.00969388 -0.10566255  0.2183807  -0.18899135
 -0.11499434  0.32422762  0.00465117  0.02835198]",0.24484750685556292,3584
14,15,"[-0.03324697  0.11209131 -0.11232742  0.1053788  -0.06458027 -0.07442186
  0.25193127  0.06667697 -0.00095136  0.00489367]",0.11504122565753341,3840
15,16,"[ 0.20932155  0.12239164  0.08274179 -0.12405061  0.13514167  0.0425531
  0.11679069 -0.1446622  -0.2061797   0.06507998]",0.18241671086502,4096
16,17,"[-0.00727018  0.24359077 -0.10072238 -0.18967744  0.235744    0.15615164
  0.17600036 -0.00656723 -0.14556067  0.05215051]",0.24039725481703497,4352
17,18,"[ 0.04042093  0.32196004  0.06969634 -0.24549797 -0.1282287  -0.00741296
  0.06873867  0.06528737  0.25625806  0.02550009]",0.2622223975903373,4608
18,19,"[ 0.23519206 -0.17630775  0.02092759 -0.19117956  0.11595898 -0.10127874
 -0.13397044  0.05866628 -0.14476453  0.06485748]",0.1936442640758536,4864
19,20,"[ 0.10676835 -0.33593466 -0.05209687  0.10453459  0.16808428 -0.08090051
  0.08640472  0.00338734 -0.06008755  0.20841906]",0.2272166252201849,5120
20,21,"[ 0.12381615 -0.20683293  0.20143704  0.23361794  0.17518628  0.12233546
  0.19678241  0.17282857 -0.22895178 -0.10157497]",0.33025014229798727,5376
21,22,"[-0.15575828 -0.10528591  0.01245918  0.15121073 -0.02428411  0.08093125
 -0.09313463 -0.13493153 -0.11350584  0.12972063]",0.12209686021501143,5632
22,23,"[ 0.15441884  0.25637832 -0.2664276   0.08095581 -0.09945657  0.01728355
  0.05634542  0.09787617  0.20063367 -0.01499313]",0.2305360754496525,5888
23,24,"[-0.04015865 -0.24572953  0.10813551  0.20431382  0.01185112 -0.10859423
  0.13476402 -0.00186572 -0.12966595 -0.06178642]",0.16616194247744476,6144
24,25,"[ 0.22304507  0.09264686 -0.0557987   0.01467114  0.02165263  0.25420951
 -0.16152743  0.04925116 -0.19517889  0.00168937]",0.19336703006357292,6400
25,26,"[ 0.08602083 -0.00485549  0.16529605  0.04383266 -0.00317945  0.24179004
  0.01416294 -0.01347118 -0.21478002 -0.17611113]",0.17266742425443757,6656
26,27,"[-0.00970852 -0.31185454 -0.0334392   0.15847708  0.07166953  0.12899895
 -0.14145045 -0.19212105  0.10615496  0.06447207]",0.21770217607359885,6912
27,28,"[-0.10730694  0.24111046 -0.00415875  0.03060112 -0.00409198 -0.15501711
 -0.16436703 -0.16434878  0.02176716  0.23229872]",0.2031133528774119,7168
