,#gen,xbest,f(xbest),eval
0,0,"[0.99999935 0.99999958 0.99999982 1.00000006 1.00000105 0.99999981
 0.99999853 0.99999968 0.99999861 0.99999824]",182436.6036155774,32
1,1,"[0.99999935 0.99999958 0.99999982 1.00000006 1.00000105 0.99999981
 0.99999853 0.99999968 0.99999861 0.99999824]",182436.6036155774,64
2,2,"[-2.19118556  0.22864264  0.44656778 -5.          3.6362863   0.35679676
  3.79529901 -3.73872732 -3.3666746   6.27119998]",134017.4050467296,96
3,3,"[ 2.59578326  0.84039783  4.13076161  4.71449783 -2.39788013  2.04033415
 -3.91393842  1.79102199 -0.02295839 -2.9173101 ]",108695.78156633867,128
4,4,"[-4.1108031  -0.70151296 -0.03045928  0.51557669  2.3664895  -0.44676468
 -1.19292876 -4.99144334  3.95644131  4.44027458]",96018.27301794491,160
5,5,"[-4.1108031  -0.70151296 -0.03045928  0.51557669  2.3664895  -0.44676468
 -1.19292876 -4.99144334  3.95644131  4.44027458]",96018.27301794491,192
6,6,"[-4.1108031  -0.70151296 -0.03045928  0.51557669  2.3664895  -0.44676468
 -1.19292876 -4.99144334  3.95644131  4.44027458]",96018.27301794491,224
7,7,"[-4.1108031  -0.70151296 -0.03045928  0.51557669  2.3664895  -0.44676468
 -1.19292876 -4.99144334  3.95644131  4.44027458]",96018.27301794491,256
8,8,"[-4.1108031  -0.70151296 -0.03045928  0.51557669  2.3664895  -0.44676468
 -1.19292876 -4.99144334  3.95644131  4.44027458]",96018.27301794491,288
9,9,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,320
10,10,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,352
11,11,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,384
12,12,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,416
13,13,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,448
14,14,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,480
15,15,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,512
16,16,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,544
17,17,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,576
18,18,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,608
19,19,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,640
20,20,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,672
21,21,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,704
22,22,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,736
23,23,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,768
24,24,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,800
25,25,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,832
26,26,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,864
27,27,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,896
28,28,"[-2.37631597  2.40745119  2.75562549  1.37325667 -0.36916841  1.05686068
  1.2299743  -1.25595662 -2.47888098  3.49550786]",9586.913465855856,928
