,#gen,xbest,f(xbest),eval
0,0,"[2.17756731 1.55159408 1.26515881 1.94447238 1.73340284 3.02261779
 1.47363645 0.         1.29958133 1.22943487]",-3.8434903860302256,256
1,1,"[2.47920156 1.52671367 1.33588127 2.4414863  1.11205463 2.41444161
 1.46805709 2.19635045 3.0338981  1.47672792]",-3.869390869390662,512
2,2,"[2.12877224 0.         1.33824333 1.560024   2.23730635 1.61034137
 1.43583164 2.37278007 0.1201357  0.3871679 ]",-4.095631054412515,768
3,3,"[2.12877224 0.         1.33824333 1.560024   2.23730635 1.61034137
 1.43583164 2.37278007 0.1201357  0.3871679 ]",-4.095631054412515,1024
4,4,"[2.12877224 0.         1.33824333 1.560024   2.23730635 1.61034137
 1.43583164 2.37278007 0.1201357  0.3871679 ]",-4.095631054412515,1280
5,5,"[1.20262919 1.52671367 1.33588127 0.933034   2.62861718 0.
 1.46805709 3.141569   0.4370556  1.20532975]",-4.100083555016244,1536
6,6,"[1.20262919 1.52671367 1.33588127 0.933034   2.62861718 0.
 1.46805709 3.141569   0.4370556  1.20532975]",-4.100083555016244,1792
7,7,"[1.20262919 1.52671367 1.33588127 0.933034   2.62861718 0.
 1.46805709 3.141569   0.4370556  1.20532975]",-4.100083555016244,2048
8,8,"[1.20262919 1.52671367 1.33588127 0.933034   2.62861718 0.
 1.46805709 3.141569   0.4370556  1.20532975]",-4.100083555016244,2304
9,9,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,2560
10,10,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,2816
11,11,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,3072
12,12,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,3328
13,13,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,3584
14,14,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,3840
15,15,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,4096
16,16,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,4352
17,17,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,4608
18,18,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,4864
19,19,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,5120
20,20,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,5376
21,21,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,5632
22,22,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,5888
23,23,"[0.         3.141569   1.3195256  2.45800553 2.23414568 2.73225322
 1.44958064 0.77619846 0.766017   3.141569  ]",-4.735661108222337,6144
24,24,"[2.30095783 1.61974854 1.42128868 1.93169515 1.5760863  2.03694183
 1.46164709 0.62416272 1.29355436 3.141569  ]",-5.486520463569797,6400
25,25,"[2.30095783 1.61974854 1.42128868 1.93169515 1.5760863  2.03694183
 1.46164709 0.62416272 1.29355436 3.141569  ]",-5.486520463569797,6656
26,26,"[2.30095783 1.61974854 1.42128868 1.93169515 1.5760863  2.03694183
 1.46164709 0.62416272 1.29355436 3.141569  ]",-5.486520463569797,6912
27,27,"[2.30095783 1.61974854 1.42128868 1.93169515 1.5760863  2.03694183
 1.46164709 0.62416272 1.29355436 3.141569  ]",-5.486520463569797,7168
28,28,"[2.30095783 1.61974854 1.42128868 1.93169515 1.5760863  2.03694183
 1.46164709 0.62416272 1.29355436 3.141569  ]",-5.486520463569797,7424
29,29,"[2.30095783 1.61974854 1.42128868 1.93169515 1.5760863  2.03694183
 1.46164709 0.62416272 1.29355436 3.141569  ]",-5.486520463569797,7680
30,30,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,7936
31,31,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,8192
32,32,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,8448
33,33,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,8704
34,34,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,8960
35,35,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,9216
36,36,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,9472
37,37,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,9728
38,38,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,9984
39,39,"[1.94058408 1.598351   2.20269452 1.04154815 2.22629342 1.870649
 2.23082383 0.69543433 1.30094765 1.84871671]",-5.8996314274301245,10240
