,#gen,xbest,f(xbest),eval
0,0,[ 2.52571631e-13 -2.09640120e-13],0.03337862605273007,512
1,1,[ 2.52571631e-13 -2.09640120e-13],0.03337862605273007,1024
2,2,[ 2.52571631e-13 -2.09640120e-13],0.03337862605273007,1536
3,3,[ 2.52571631e-13 -2.09640120e-13],0.03337862605273007,2048
4,4,[ 2.52571631e-13 -2.09640120e-13],0.03337862605273007,2560
5,5,[ 2.52571631e-13 -2.09640120e-13],0.03337862605273007,3072
6,6,[ 2.52571631e-13 -2.09640120e-13],0.03337862605273007,3584
7,7,[-0.06304974  0.08457061],0.022509543662271977,4096
8,8,[-0.06304974  0.08457061],0.022509543662271977,4608
9,9,[-0.06304974  0.08457061],0.022509543662271977,5120
10,10,[ 0.06772866 -0.00801942],0.0073304572518200035,5632
11,11,[ 0.06772866 -0.00801942],0.0073304572518200035,6144
12,12,[ 0.06772866 -0.00801942],0.0073304572518200035,6656
13,13,[ 0.02484818 -0.00438164],0.0008954217842520512,7168
14,14,[ 0.02484818 -0.00438164],0.0008954217842520512,7680
15,15,[ 0.02484818 -0.00438164],0.0008954217842520512,8192
16,16,[ 0.02484818 -0.00438164],0.0008954217842520512,8704
17,17,[ 0.02484818 -0.00438164],0.0008954217842520512,9216
18,18,[ 0.02484818 -0.00438164],0.0008954217842520512,9728
19,19,[-0.02302747  0.01624857],0.0008839632094802828,10240
20,20,[-0.02302747  0.01624857],0.0008839632094802828,10752
21,21,[-0.00948121 -0.00730608],0.0007240998207054642,11264
22,22,[-0.00948121 -0.00730608],0.0007240998207054642,11776
23,23,[-0.00948121 -0.00730608],0.0007240998207054642,12288
24,24,[-0.00948121 -0.00730608],0.0007240998207054642,12800
25,25,[-0.00948121 -0.00730608],0.0007240998207054642,13312
26,26,[ 0.00136688 -0.01122506],0.0005725707173372189,13824
27,27,[ 0.00599014 -0.00394434],5.5043981417310654e-05,14336
28,28,[ 0.00599014 -0.00394434],5.5043981417310654e-05,14848
29,29,[-0.00500558  0.00366415],4.387689831594526e-05,15360
30,30,[-0.00500558  0.00366415],4.387689831594526e-05,15872
31,31,[-0.00500558  0.00366415],4.387689831594526e-05,16384
32,32,[ 0.00251662 -0.00338888],3.597556587649853e-05,16896
33,33,[ 0.00194174 -0.00150088],7.1466698414379185e-06,17408
34,34,[ 0.00194174 -0.00150088],7.1466698414379185e-06,17920
35,35,[ 1.48467821e-05 -5.93231056e-04],1.7248278775920686e-06,18432
36,36,[ 1.48467821e-05 -5.93231056e-04],1.7248278775920686e-06,18944
37,37,[ 1.48467821e-05 -5.93231056e-04],1.7248278775920686e-06,19456
38,38,[ 1.48467821e-05 -5.93231056e-04],1.7248278775920686e-06,19968
39,39,[ 1.48467821e-05 -5.93231056e-04],1.7248278775920686e-06,20480
40,40,[ 1.48467821e-05 -5.93231056e-04],1.7248278775920686e-06,20992
41,41,[ 1.73495674e-04 -8.56676221e-05],3.7444357750276545e-08,21504
42,42,[ 1.73495674e-04 -8.56676221e-05],3.7444357750276545e-08,22016
43,43,[ 1.73495674e-04 -8.56676221e-05],3.7444357750276545e-08,22528
44,44,[ 1.73495674e-04 -8.56676221e-05],3.7444357750276545e-08,23040
45,45,[ 1.73495674e-04 -8.56676221e-05],3.7444357750276545e-08,23552
46,46,[ 1.73495674e-04 -8.56676221e-05],3.7444357750276545e-08,24064
47,47,[ 1.73495674e-04 -8.56676221e-05],3.7444357750276545e-08,24576
48,48,[ 1.73495674e-04 -8.56676221e-05],3.7444357750276545e-08,25088
49,49,[-1.52231509e-04  8.43128627e-05],3.055186147482326e-08,25600
50,50,[-1.52231509e-04  8.43128627e-05],3.055186147482326e-08,26112
51,51,[-1.52231509e-04  8.43128627e-05],3.055186147482326e-08,26624
52,52,[-1.52231509e-04  8.43128627e-05],3.055186147482326e-08,27136
53,53,[-1.52231509e-04  8.43128627e-05],3.055186147482326e-08,27648
54,54,[-1.52231509e-04  8.43128627e-05],3.055186147482326e-08,28160
55,55,[-1.98534443e-05  2.69653915e-05],2.2825566000268174e-09,28672
56,56,[-1.98534443e-05  2.69653915e-05],2.2825566000268174e-09,29184
57,57,[ 1.08979227e-05 -1.76601312e-05],1.0270956232777144e-09,29696
58,58,[ 1.08979227e-05 -1.76601312e-05],1.0270956232777144e-09,30208
59,59,[ 1.08979227e-05 -1.76601312e-05],1.0270956232777144e-09,30720
60,60,[ 1.08979227e-05 -1.76601312e-05],1.0270956232777144e-09,31232
61,61,[ 1.08979227e-05 -1.76601312e-05],1.0270956232777144e-09,31744
62,62,[ 1.08979227e-05 -1.76601312e-05],1.0270956232777144e-09,32256
63,63,[ 1.08979227e-05 -1.76601312e-05],1.0270956232777144e-09,32768
64,64,[ 1.08979227e-05 -1.76601312e-05],1.0270956232777144e-09,33280
65,65,[5.34291542e-06 7.85963708e-06],5.339364705334343e-10,33792
66,66,[5.34291542e-06 7.85963708e-06],5.339364705334343e-10,34304
67,67,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,34816
68,68,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,35328
69,69,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,35840
70,70,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,36352
71,71,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,36864
72,72,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,37376
73,73,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,37888
74,74,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,38400
75,75,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,38912
76,76,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,39424
77,77,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,39936
78,78,[ 3.05230465e-06 -1.24193155e-06],1.1182083433072997e-11,40448
79,79,[ 2.20651152e-07 -5.70396619e-07],1.2207006921982094e-12,40960
80,80,[ 2.20651152e-07 -5.70396619e-07],1.2207006921982094e-12,41472
81,81,[ 2.20651152e-07 -5.70396619e-07],1.2207006921982094e-12,41984
82,82,[ 2.20651152e-07 -5.70396619e-07],1.2207006921982094e-12,42496
83,83,[ 2.20651152e-07 -5.70396619e-07],1.2207006921982094e-12,43008
84,84,[ 2.20651152e-07 -5.70396619e-07],1.2207006921982094e-12,43520
85,85,[-3.68024516e-07  6.42604632e-08],1.9693342053677235e-13,44032
86,86,[-3.68024516e-07  6.42604632e-08],1.9693342053677235e-13,44544
87,87,[-1.07352769e-07  1.85839921e-07],1.1592989415354757e-13,45056
88,88,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,45568
89,89,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,46080
90,90,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,46592
91,91,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,47104
92,92,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,47616
93,93,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,48128
94,94,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,48640
95,95,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,49152
96,96,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,49664
97,97,[-1.48684590e-07  8.75771407e-08],3.0477507341961364e-14,50176
98,98,[-9.23913377e-08  4.76101578e-08],1.081088953612525e-14,50688
99,99,[ 1.03068203e-09 -2.74180395e-09],2.840834328000552e-17,51200
100,100,[ 1.03068203e-09 -2.74180395e-09],2.840834328000552e-17,51712
101,101,[ 1.03068203e-09 -2.74180395e-09],2.840834328000552e-17,52224
102,102,[ 1.03068203e-09 -2.74180395e-09],2.840834328000552e-17,52736
103,103,[ 1.03068203e-09 -2.74180395e-09],2.840834328000552e-17,53248
104,104,[ 1.03068203e-09 -2.74180395e-09],2.840834328000552e-17,53760
105,105,[ 1.03068203e-09 -2.74180395e-09],2.840834328000552e-17,54272
106,106,[ 1.03068203e-09 -2.74180395e-09],2.840834328000552e-17,54784
