,#gen,xbest,f(xbest),eval
0,0,[-2.14175407e-16  3.01684558e-16],7.815349411934038,256
1,1,[-0.06153269 -2.19758   ],6.194734273583887,512
2,2,[-0.99638511 -2.04181688],5.542529616510198,768
3,3,[-0.99638511 -2.04181688],5.542529616510198,1024
4,4,[0.67087432 0.58917335],4.5749233198058405,1280
5,5,[0.67087432 0.58917335],4.5749233198058405,1536
6,6,[0.67087432 0.58917335],4.5749233198058405,1792
7,7,[-0.99638511 -0.1582032 ],3.212325582187152,2048
8,8,[1.03188859 0.11955175],3.09838137551175,2304
9,9,[1.03188859 0.11955175],3.09838137551175,2560
10,10,[1.03188859 0.11955175],3.09838137551175,2816
11,11,[0.1557568  0.01435835],0.980817217733819,3072
12,12,[0.1557568  0.01435835],0.980817217733819,3328
13,13,[-0.04943813 -0.01612276],0.21760943803955657,3584
14,14,[-0.04943813 -0.01612276],0.21760943803955657,3840
15,15,[-0.04943813 -0.01612276],0.21760943803955657,4096
16,16,[-0.04943813 -0.01612276],0.21760943803955657,4352
17,17,[-0.04943813 -0.01612276],0.21760943803955657,4608
18,18,[-0.04943813 -0.01612276],0.21760943803955657,4864
19,19,[-0.04943813 -0.01612276],0.21760943803955657,5120
20,20,[-0.04943813 -0.01612276],0.21760943803955657,5376
21,21,[-0.04943813 -0.01612276],0.21760943803955657,5632
22,22,[-0.03564341 -0.01981758],0.15912064503963608,5888
23,23,[-0.03224234  0.00244158],0.11905876084107847,6144
24,24,[0.00065189 0.00139497],0.004418284538016071,6400
25,25,[0.00065189 0.00139497],0.004418284538016071,6656
26,26,[0.00065189 0.00139497],0.004418284538016071,6912
27,27,[0.00065189 0.00139497],0.004418284538016071,7168
28,28,[0.00065189 0.00139497],0.004418284538016071,7424
29,29,[0.00065189 0.00139497],0.004418284538016071,7680
30,30,[0.00065189 0.00139497],0.004418284538016071,7936
31,31,[0.00065189 0.00139497],0.004418284538016071,8192
32,32,[0.00065189 0.00139497],0.004418284538016071,8448
33,33,[0.00065189 0.00139497],0.004418284538016071,8704
34,34,[0.00065189 0.00139497],0.004418284538016071,8960
