,#gen,xbest,f(xbest),eval
0,0,"[ 0.21010785 -0.16907204  0.13311623  0.08128333  0.22286009 -0.30001216
 -0.02627731  0.42000126 -0.48815714  0.04445131]",19.804135118723394,1024
1,1,"[ 0.21010785 -0.16907204  0.13311623  0.08128333  0.22286009 -0.30001216
 -0.02627731  0.42000126 -0.48815714  0.04445131]",19.804135118723394,2048
2,2,"[-0.20354223 -1.58640149  0.17735353 -1.94516181  0.04420186 -0.33326639
 -1.07837646 -1.77300052 -0.94961238 -2.77094303]",19.37254371591032,3072
3,3,"[ 1.21168543  0.98670735 -0.39787794  0.00731245  0.3025264  -0.12675831
  3.2125772   1.67130576 -0.36149834  0.2455169 ]",16.012598017613872,4096
4,4,"[ 1.21168543  0.98670735 -0.39787794  0.00731245  0.3025264  -0.12675831
  3.2125772   1.67130576 -0.36149834  0.2455169 ]",16.012598017613872,5120
5,5,"[ 1.21168543  0.98670735 -0.39787794  0.00731245  0.3025264  -0.12675831
  3.2125772   1.67130576 -0.36149834  0.2455169 ]",16.012598017613872,6144
6,6,"[ 1.21168543  0.98670735 -0.39787794  0.00731245  0.3025264  -0.12675831
  3.2125772   1.67130576 -0.36149834  0.2455169 ]",16.012598017613872,7168
7,7,"[-0.30971494 -1.25734328  0.53705416 -0.14350876  0.58250816 -0.97959633
 -1.76607661 -2.16888931 -0.29437901 -0.09294418]",11.203187180674409,8192
8,8,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,9216
9,9,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,10240
10,10,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,11264
11,11,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,12288
12,12,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,13312
13,13,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,14336
14,14,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,15360
15,15,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,16384
16,16,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,17408
17,17,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,18432
18,18,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,19456
19,19,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,20480
20,20,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,21504
21,21,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,22528
22,22,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,23552
23,23,"[-0.62229279 -0.10944986 -0.8376577  -0.13150866  0.48516822 -0.19172207
  0.33288015 -0.38866237 -0.95334294 -1.18887873]",3.974501105256789,24576
